date,TATN
2006-03-13,154.0
2006-03-14,149.0
2006-03-15,148.3
2006-03-16,147.985
2006-03-17,154.333
2006-03-20,150.6
2006-03-21,145.8
2006-03-22,148.55
2006-03-23,151.2
2006-03-24,148.01
2006-03-27,147.6
2006-03-28,146.74
2006-03-29,142.3
2006-03-30,147.0
2006-03-31,147.99
2006-04-03,150.3
2006-04-04,148.32
2006-04-05,149.0
2006-04-06,151.59
2006-04-07,152.205
2006-04-10,153.079
2006-04-11,153.999
2006-04-12,154.0
2006-04-13,152.11
2006-04-14,153.62
2006-04-17,158.5
2006-04-18,162.5
2006-04-19,165.2
2006-04-20,164.699
2006-04-21,164.8
2006-04-24,167.0
2006-04-25,164.06
2006-04-26,163.78
2006-04-27,156.6
2006-04-28,158.7
2006-05-02,163.0
2006-05-03,161.5
2006-05-04,162.91
2006-05-05,161.55
2006-05-06,162.8
2006-05-10,161.5
2006-05-11,160.4
2006-05-12,156.2
2006-05-15,145.74
2006-05-16,138.9
2006-05-17,129.97
2006-05-18,124.99
2006-05-19,122.5
2006-05-22,112.0
2006-05-23,122.8
2006-05-24,116.5
2006-05-25,120.96
2006-05-26,123.92
2006-05-29,120.75
2006-05-30,121.7
2006-05-31,116.99
2006-06-01,119.16
2006-06-02,130.2
2006-06-05,133.52
2006-06-06,123.0
2006-06-07,120.1
2006-06-08,107.5
2006-06-09,111.5
2006-06-13,97.84
2006-06-14,101.5
2006-06-15,104.4
2006-06-16,102.65
2006-06-19,101.71
2006-06-20,103.84
2006-06-21,101.98
2006-06-22,100.0
2006-06-23,100.5
2006-06-26,94.99
2006-06-27,97.0
2006-06-28,96.5
2006-06-29,98.4
2006-06-30,105.3
2006-07-03,117.0
2006-07-04,120.0
2006-07-05,110.5
2006-07-06,117.3
2006-07-07,117.0
2006-07-10,116.5
2006-07-11,118.3
2006-07-12,121.5
2006-07-13,117.71
2006-07-14,117.0
2006-07-17,114.26
2006-07-18,115.64
2006-07-19,119.6
2006-07-20,123.19
2006-07-21,124.51
2006-07-24,126.9
2006-07-25,131.65
2006-07-26,134.7
2006-07-27,138.0
2006-07-28,135.17
2006-07-31,134.02
2006-08-01,133.0
2006-08-02,135.12
2006-08-03,138.46
2006-08-04,146.92
2006-08-07,145.6
2006-08-08,142.75
2006-08-09,146.0
2006-08-10,145.03
2006-08-11,149.9
2006-08-14,151.93
2006-08-15,155.85
2006-08-16,160.0
2006-08-17,158.26
2006-08-18,144.48
2006-08-21,146.4
2006-08-22,147.5
2006-08-23,151.0
2006-08-24,147.5
2006-08-25,148.7
2006-08-28,144.38
2006-08-29,141.2
2006-08-30,140.85
2006-08-31,140.6
2006-09-01,137.0
2006-09-04,137.95
2006-09-05,142.83
2006-09-06,136.86
2006-09-07,128.65
2006-09-08,127.9
2006-09-11,119.7
2006-09-12,122.35
2006-09-13,124.3
2006-09-14,126.0
2006-09-15,123.5
2006-09-18,124.14
2006-09-19,124.5
2006-09-20,121.5
2006-09-21,120.0
2006-09-22,114.2
2006-09-25,106.6
2006-09-26,110.5
2006-09-27,113.99
2006-09-28,116.41
2006-09-29,113.5
2006-10-02,115.47
2006-10-03,111.56
2006-10-04,112.8
2006-10-05,116.9
2006-10-06,116.78
2006-10-09,122.98
2006-10-10,121.99
2006-10-11,125.37
2006-10-12,124.55
2006-10-13,127.33
2006-10-16,127.7
2006-10-17,126.02
2006-10-18,128.15
2006-10-19,127.69
2006-10-20,124.65
2006-10-23,122.6
2006-10-24,122.3
2006-10-25,126.1
2006-10-26,125.88
2006-10-27,124.54
2006-10-30,120.99
2006-10-31,123.87
2006-11-01,125.0
2006-11-02,122.35
2006-11-03,123.3
2006-11-07,124.63
2006-11-08,123.34
2006-11-09,128.71
2006-11-10,129.85
2006-11-13,129.97
2006-11-14,129.35
2006-11-15,129.8
2006-11-16,131.95
2006-11-17,128.0
2006-11-20,125.25
2006-11-21,129.72
2006-11-22,128.45
2006-11-23,128.5
2006-11-24,129.8
2006-11-27,129.3
2006-11-28,129.15
2006-11-29,132.21
2006-11-30,129.0
2006-12-01,127.5
2006-12-04,127.19
2006-12-05,128.68
2006-12-06,129.74
2006-12-07,129.2
2006-12-08,129.49
2006-12-11,126.95
2006-12-12,126.1
2006-12-13,123.85
2006-12-14,124.1
2006-12-15,125.55
2006-12-18,124.22
2006-12-19,121.29
2006-12-20,122.2
2006-12-21,122.4
2006-12-22,123.4
2006-12-25,122.65
2006-12-26,122.63
2006-12-27,121.95
2006-12-28,122.04
2006-12-29,122.16
2007-01-09,111.54
2007-01-10,110.51
2007-01-11,112.16
2007-01-12,111.34
2007-01-15,115.97
2007-01-16,112.2
2007-01-17,110.75
2007-01-18,113.72
2007-01-19,115.98
2007-01-22,118.21
2007-01-23,115.4
2007-01-24,115.16
2007-01-25,116.33
2007-01-26,116.57
2007-01-29,114.4
2007-01-30,114.46
2007-01-31,115.39
2007-02-01,117.21
2007-02-02,116.0
2007-02-05,118.6
2007-02-06,119.43
2007-02-07,118.5
2007-02-08,114.92
2007-02-09,115.27
2007-02-12,111.0
2007-02-13,112.5
2007-02-14,112.69
2007-02-15,111.75
2007-02-16,112.2
2007-02-19,112.22
2007-02-20,110.25
2007-02-21,111.55
2007-02-22,117.7
2007-02-26,122.23
2007-02-27,118.6
2007-02-28,115.69
2007-03-01,110.5
2007-03-02,110.11
2007-03-05,103.85
2007-03-06,105.35
2007-03-07,107.18
2007-03-09,112.03
2007-03-12,111.2
2007-03-13,112.18
2007-03-14,105.61
2007-03-15,112.19
2007-03-16,113.78
2007-03-19,115.0
2007-03-20,112.98
2007-03-21,114.7
2007-03-22,116.6
2007-03-23,121.99
2007-03-26,121.91
2007-03-27,120.6
2007-03-28,123.0
2007-03-29,124.65
2007-03-30,121.93
2007-04-02,122.09
2007-04-03,119.13
2007-04-04,117.98
2007-04-05,122.0
2007-04-06,124.78
2007-04-09,124.82
2007-04-10,123.35
2007-04-11,124.45
2007-04-12,123.01
2007-04-13,126.75
2007-04-16,127.98
2007-04-17,126.61
2007-04-18,126.0
2007-04-19,124.73
2007-04-20,130.92
2007-04-23,129.8
2007-04-24,128.68
2007-04-25,128.25
2007-04-26,125.94
2007-04-27,121.41
2007-04-28,122.0
2007-05-02,120.0
2007-05-03,121.7
2007-05-04,123.5
2007-05-07,121.9
2007-05-08,122.77
2007-05-10,119.72
2007-05-11,118.73
2007-05-14,116.7
2007-05-15,113.0
2007-05-16,113.68
2007-05-17,113.2
2007-05-18,115.65
2007-05-21,116.55
2007-05-22,117.28
2007-05-23,114.37
2007-05-24,114.65
2007-05-25,113.98
2007-05-28,112.29
2007-05-29,111.95
2007-05-30,111.6
2007-05-31,114.31
2007-06-01,118.7
2007-06-04,116.22
2007-06-05,114.89
2007-06-06,117.0
2007-06-07,116.0
2007-06-08,115.3
2007-06-09,116.5
2007-06-13,118.73
2007-06-14,120.48
2007-06-15,121.38
2007-06-18,123.53
2007-06-19,124.02
2007-06-20,125.25
2007-06-21,123.0
2007-06-22,122.32
2007-06-25,120.0
2007-06-26,120.59
2007-06-27,119.03
2007-06-28,118.2
2007-06-29,118.0
2007-07-02,118.5
2007-07-03,122.9
2007-07-04,121.9
2007-07-05,124.96
2007-07-06,125.9
2007-07-09,129.2
2007-07-10,127.79
2007-07-11,127.47
2007-07-12,136.6
2007-07-13,137.53
2007-07-16,137.0
2007-07-17,136.0
2007-07-18,132.51
2007-07-19,138.46
2007-07-20,136.59
2007-07-23,138.0
2007-07-24,134.06
2007-07-25,135.3
2007-07-26,129.5
2007-07-27,127.12
2007-07-30,125.97
2007-07-31,127.88
2007-08-01,124.7
2007-08-02,126.46
2007-08-03,127.39
2007-08-06,124.75
2007-08-07,124.3
2007-08-08,127.95
2007-08-09,124.0
2007-08-10,122.49
2007-08-13,126.0
2007-08-14,127.09
2007-08-15,123.79
2007-08-16,121.62
2007-08-17,127.25
2007-08-20,124.3
2007-08-21,122.59
2007-08-22,124.29
2007-08-23,125.0
2007-08-24,124.99
2007-08-27,125.01
2007-08-28,126.01
2007-08-29,128.68
2007-08-30,126.4
2007-08-31,129.2
2007-09-03,128.15
2007-09-04,128.5
2007-09-05,128.01
2007-09-06,129.16
2007-09-07,124.33
2007-09-10,125.47
2007-09-11,125.7
2007-09-12,124.12
2007-09-13,126.6
2007-09-14,125.79
2007-09-17,125.6
2007-09-18,127.16
2007-09-19,129.71
2007-09-20,129.2
2007-09-21,131.11
2007-09-24,135.25
2007-09-25,134.02
2007-09-26,138.65
2007-09-27,139.19
2007-09-28,138.82
2007-10-01,134.3
2007-10-02,139.95
2007-10-03,140.0
2007-10-04,137.27
2007-10-05,138.5
2007-10-08,136.73
2007-10-09,139.29
2007-10-10,138.46
2007-10-11,143.25
2007-10-12,142.0
2007-10-15,143.42
2007-10-16,143.0
2007-10-17,143.4
2007-10-18,141.25
2007-10-19,140.15
2007-10-22,135.6
2007-10-23,136.95
2007-10-24,135.87
2007-10-25,140.3
2007-10-26,148.7
2007-10-29,152.1
2007-10-30,154.69
2007-10-31,152.5
2007-11-01,149.9
2007-11-02,151.69
2007-11-06,154.18
2007-11-07,152.01
2007-11-08,153.33
2007-11-09,150.2
2007-11-12,149.35
2007-11-13,145.67
2007-11-14,147.48
2007-11-15,145.75
2007-11-16,141.7
